new,host,a,cname,soa,status_code,ns,mx,txt,caa,aaaa,cdn,cdn-name
[x],0-226-188-56.access.upgrade.com,"44.239.151.238, 34.210.201.112, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],0-courier2.access.upgrade.com,"34.210.201.112, 44.239.151.238, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],101-56.access.upgrade.com,"34.210.201.112, 44.239.151.238, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],113-106-53.access.upgrade.com,"34.210.201.112, 44.239.151.238, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-171-93.access.upgrade.com,"44.239.151.238, 44.239.201.247, 34.210.201.112",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-182-39.access.upgrade.com,"34.210.201.112, 44.239.201.247, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-183-87.access.upgrade.com,,teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-203-41.access.upgrade.com,"44.239.201.247, 44.239.151.238, 34.210.201.112",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-203-87.access.upgrade.com,"44.239.151.238, 34.210.201.112, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,,,
[x],155-9-204-70.access.upgrade.com,"44.239.151.238, 44.239.201.247, 34.210.201.112",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,"ns-1475.awsdns-56.org, ns-1769.awsdns-29.co.uk, ns-332.awsdns-41.com, ns-560.awsdns-06.net",,,,,,
[x],155-9-206-59.access.upgrade.com,"44.239.201.247, 34.210.201.112, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-211-98.access.upgrade.com,"34.210.201.112, 44.239.151.238, 44.239.201.247",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-216-97.access.upgrade.com,"44.239.201.247, 34.210.201.112, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-223-41.access.upgrade.com,"44.239.201.247, 34.210.201.112, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-225-59.access.upgrade.com,"44.239.201.247, 34.210.201.112, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-227-2.access.upgrade.com,"34.210.201.112, 44.239.201.247, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-241-78.access.upgrade.com,"44.239.201.247, 44.239.151.238, 34.210.201.112",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-55-15.access.upgrade.com,"44.239.201.247, 34.210.201.112, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-56-97.access.upgrade.com,"34.210.201.112, 44.239.201.247, 44.239.151.238",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
[x],155-9-62-20.access.upgrade.com,"44.239.201.247, 44.239.151.238, 34.210.201.112",teleport-alb-1827295755.us-west-2.elb.amazonaws.com,"ns-332.awsdns-41.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,
