input,title,status_code,content_length,asn_as_number,asn_as_name,asn_as_country,asn_as_range_,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_tls_connection,tls_sni,port,url,scheme,webserver,content_type,method,host,path,favicon,final_url,a_,tech_,lines,failed,tls_mismatched,tls_wildcard_certificate,csp_domains_,tls_self_signed,tls_subject_org_,cdn_name,cdn,tls_expired
1024.preprod.dailymotion.com,,401,,AS41690,"DAILYMOTION For peering related business, please mail peering@dailymotion.com",FR,195.8.214.0/23,1024.preprod.dailymotion.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-17T00:00:00Z,2023-07-16T23:59:59Z,CN=*.preprod.dailymotion.com,*.preprod.dailymotion.com,*.dailymotion.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,ffd1a988792a4abc1202864dc433c602,49ee21bbadc5975e44e3b5f51c1e9309c8b1c3f3ba7385144ff8ade2b5435195,ctls,1024.preprod.dailymotion.com,443,https://1024.preprod.dailymotion.com:443,https,,text/html,GET,195.8.215.142,/,-1840324437,,195.8.215.142,Basic,1,False,,True,,,,,,
ablink.partner.dailymotion.com,404 Not Found,404,564,AS41690,"DAILYMOTION For peering related business, please mail peering@dailymotion.com",FR,188.65.120.0/21,ablink.partner.dailymotion.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-02T00:00:00Z,2023-07-01T23:59:59Z,CN=links.alerts.dailymotion.com,links.alerts.dailymotion.com,links.notifications.dailymotion.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,8b1ff525b40b6e5b5f80d3b6dd5b4e6d,09202eec7a34e871a0dc5def06c147fe0e535156c6f6d467dc07c4ea3b1f4b4a,ctls,ablink.partner.dailymotion.com,443,https://ablink.partner.dailymotion.com:443,https,nginx,text/html,GET,188.65.124.84,/,1506877856,,188.65.124.84,Nginx,14,False,,,,,,,,
accim-e-jmin-adm.vid2.ll.dmcdn.net,,400,,AS22822,LLNW,US,178.79.224.0/19,accim-e-jmin-adm.vid2.ll.dmcdn.net,443,True,tls13,TLS_AES_256_GCM_SHA384,2022-11-27T00:00:00Z,2023-11-27T23:59:59Z,CN=*.hs.llnwd.net,*.hs.llnwd.net,llnw.com,"CN=Sectigo RSA Domain Validation Secure Server CA, O=Sectigo Limited, L=Salford, ST=Greater Manchester, C=GB",Sectigo RSA Domain Validation Secure Server CA,Sectigo Limited,d5d9dfa073d673641abf131f9ba1a81d,941176cc94266ac574f7a65eb0b2f78d4527823e40fd1b68954ded8c202a9db7,ctls,accim-e-jmin-adm.vid2.ll.dmcdn.net,443,https://accim-e-jmin-adm.vid2.ll.dmcdn.net:443,https,EdgePrism/5.0.9.0,text/plain,GET,178.79.246.80,/,-1840324437,,178.79.246.80,,1,False,True,True,,,,,,
addir-stage01.dailymotion.com,403 Forbidden,403,146,AS41690,"DAILYMOTION For peering related business, please mail peering@dailymotion.com",FR,188.65.120.0/21,addir-stage01.dailymotion.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-27T00:00:00Z,2023-07-26T23:59:59Z,CN=addir-stage01.dailymotion.com,addir-stage01.dailymotion.com,addir-stage01.dailymotion.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,e136cf54638ff3bfad956007c3ce788f,328bae4075c2208e5827ef69463fbd3b70fe0ae49de94b0fe1b8fd344fdaa262,ctls,addir-stage01.dailymotion.com,443,https://addir-stage01.dailymotion.com:443,https,,text/html,GET,188.65.124.67,/,-1561873722,,188.65.124.67,HSTS,8,False,,,,,,,,
addirector-debug.dmxleo.com,403 Forbidden,403,146,AS396982,GOOGLE-CLOUD-PLATFORM,US,35.240.0.0/16,addirector-debug.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-22T00:00:00Z,2023-06-20T23:59:59Z,CN=addirector-debug.dmxleo.com,addirector-debug.dmxleo.com,addirector-debug.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,2fdd473ca61c680e1772946db2847b5a,712c603beefca046df1ef4e18f08c6de63eae23d5c0139669ec4a5b267181d0f,ctls,addirector-debug.dmxleo.com,443,https://addirector-debug.dmxleo.com:443,https,,text/html,GET,35.240.109.65,/,-1561873722,,35.240.109.65,HSTS,8,False,,,,,,google,True,
addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com,403 Forbidden,403,146,AS396982,GOOGLE-CLOUD-PLATFORM,US,35.235.128.0/19,addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-07-13T23:59:59Z,CN=public-staging-leo-addirector-mgmt-addir.dmxleo.com,public-staging-leo-addirector-mgmt-addir.dmxleo.com,addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,b66ad27e119cf2b610709cbc2d2eee1e,723c805e7509bc75ca6556db5aebd2d80b2439297b01619095946d276e4dc792,ctls,addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com,443,https://addirector-mgmt-addir-staging-cloud-europewest1.dmxleo.com:443,https,,text/html,GET,35.233.16.81,/,-1561873722,,35.233.16.81,HSTS,8,False,,,,,,google,True,
addirector-mgmt-staging-cloud-europewest1.dmxleo.com,403 Forbidden,403,548,AS396982,GOOGLE-CLOUD-PLATFORM,US,35.235.128.0/19,addirector-mgmt-staging-cloud-europewest1.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-14T00:00:00Z,2023-07-13T23:59:59Z,CN=public-staging-leo-addirector-mgmt.dmxleo.com,public-staging-leo-addirector-mgmt.dmxleo.com,addirector-mgmt-staging-cloud-europewest1.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,8e546f38aac37fdff8d316c91760bb46,bd7db30f3484010b8945c8eaf93e2c7d9a66b74b53f5e3bf867b3d9ac3f8a8c7,ctls,addirector-mgmt-staging-cloud-europewest1.dmxleo.com,443,https://addirector-mgmt-staging-cloud-europewest1.dmxleo.com:443,https,,text/html,GET,35.233.16.81,/,586998417,,35.233.16.81,HSTS,14,False,,,,,,google,True,
addirector-prod-onprem-nyc.dmxleo.com,,204,,AS41690,"DAILYMOTION For peering related business, please mail peering@dailymotion.com",FR,198.54.200.0/23,addirector-prod-onprem-nyc.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-05T00:00:00Z,2023-07-04T23:59:59Z,CN=public-prod-dailymotion-addirector.dmxleo.com,public-prod-dailymotion-addirector.dmxleo.com,addirector-prod-onprem-nyc.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,7f10666877d61e9888588bf60035e752,860e5fd54e2118b7efb7b3ae8d5e2b0e8dae1e447216fa44a34c47849a5961b9,ctls,addirector-prod-onprem-nyc.dmxleo.com,443,https://addirector-prod-onprem-nyc.dmxleo.com:443,https,,,GET,198.54.201.131,/,-1840324437,,198.54.201.131,HSTS,1,False,,,,,,,,
addirector-prod-onprem-sg1.dmxleo.com,,204,,AS9498,BBIL-AP BHARTI Airtel Ltd.,IN,112.0.0.0/4,addirector-prod-onprem-sg1.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-04-08T00:00:00Z,2023-07-07T23:59:59Z,CN=public-prod-dailymotion-addirector.dmxleo.com,public-prod-dailymotion-addirector.dmxleo.com,addirector-prod-onprem-sg1.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,b897f5b3026bda0a748e58624c85af12,ed4d4ae68031f1808c88df4dbba49340bb98ce6ec610e5bbe718b63b2f1bf15b,ctls,addirector-prod-onprem-sg1.dmxleo.com,443,https://addirector-prod-onprem-sg1.dmxleo.com:443,https,,,GET,103.195.32.131,/,-1840324437,,103.195.32.131,HSTS,1,False,,,,,,,,
addirector-prod-onprem-sv4.dmxleo.com,,204,,AS41690,"DAILYMOTION For peering related business, please mail peering@dailymotion.com",FR,198.54.200.0/23,addirector-prod-onprem-sv4.dmxleo.com,443,True,tls13,TLS_AES_256_GCM_SHA384,2023-03-23T00:00:00Z,2023-06-21T23:59:59Z,CN=public-prod-dailymotion-addirector.dmxleo.com,public-prod-dailymotion-addirector.dmxleo.com,addirector-prod-onprem-sv4.dmxleo.com,"CN=ZeroSSL RSA Domain Secure Site CA, O=ZeroSSL, C=AT",ZeroSSL RSA Domain Secure Site CA,ZeroSSL,63cf65442b4124240d41d0da8b620b50,7303e7def0ddd12071ababf8b4e514751a9e3d943d0d5efe89c66077439744e4,ctls,addirector-prod-onprem-sv4.dmxleo.com,443,https://addirector-prod-onprem-sv4.dmxleo.com:443,https,,,GET,198.54.200.131,/,-1840324437,,198.54.200.131,HSTS,1,False,,,,,,,,
