new,host,a,soa,status_code,mx,txt,cdn,cdn-name,cname,has_internal_ips,internal_ips,aaaa,ns,caa
[x],beseen.originenergy.com.au,203.89.245.77,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],codesearch.odcdn.com.au,10.201.243.36,"ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.201.243.36,,,
[x],devel1.originenergy.com.au,,"ns-1641.awsdns-13.co.uk, awsdns-hostmaster.amazon.com",NOERROR,,,,,devel1.rack.origindigital-dac.com.au,,,,,
[x],enterpriseenrollment.originenergy.com.au,13.74.111.192,"ns1-07.azure-dns.com, azuredns-hostmaster.microsoft.com, ns1-201.azure-dns.com, msnhst.microsoft.com",NOERROR,,,True,azure,"enterpriseenrollment-s.manage.microsoft.com, manage-pe.trafficmanager.net, pexsucpeu01.northeurope.cloudapp.azure.com, pexsucpeu03.swedencentral.cloudapp.azure.com, pexsucpeu02.westeurope.cloudapp.azure.com",,,,,
[x],enterpriseregistration.originenergy.com.au,20.190.137.40,"tm1.dns-tm.com, hostmaster.trafficmanager.net, internal.akadns.net, hostmaster.akamai.com",NOERROR,,,True,azure,"enterpriseregistration.windows.net, adrs.privatelink.msidentity.com, www.tm.prd.adrs.akadns.net, www.tm.prd.adrs.trafficmanager.net",,,,,
[x],jb.originenergy.com.au,,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,"mx1.hc852-37.ap.iphmx.com, mx2.hc852-37.ap.iphmx.com","1password-site-verification=ZCWPR5JGIBFVTAFP7MPH2ZXUUY, 3DrzIKSJGgS1w7GVO_VOeZU, MS=ms56582967, XKyYnON1fVSiNFhexQYALj9QmyldH/6yxy/jq9CrEwmd4C0Rg2eToWjSC5vJIX46Q9p6er2iJjKPqeEaZhGztg==, \""v=spf1 mx include:spf.protection.outlook.com include:mailcontrol.com ip4:203.20.196.0/24 include:esa.hc852-37.ap.iphmx.com include:spfa.originenergy.com.au, adobe-idp-site-verification=cfb9973b1a5fcb92d0df8af292cd038166ba53a0d4b7b6425ff11dc630c134fe, adobe-sign-verification=101e76e895d3438ac32ef47f24e219a8, ahrefs-site-verification_79265bb1eb668b7d49ed91f942f921f49b44e5b2892a6466695be7142f64bc9f, amazonses:1eQ6snJi3IOXeaavRVk5FbnA+1pObS864Jqm4hy+Ph4=, amazonses:6LnWPz7WZEYwitrMcX8FLUeNtj3MBgVv1sTNu4EBskY=, amazonses:BgEN0ykGl1Y4ntshsgJR7tgqE/I8n7fhnRZjCDppk5k=, amazonses:Jz5EaKVa4gaCpDFcBdhSGpq2ZVHq1YDt/jrp6YF4AAY=, amazonses:QIL29UoPglPQ3S1T6z+C+Q/MVuhrKmTo0TlGokGvfQs=, atlassian-domain-verification=Ici6ZLHdiuA7VDl9CbnH4zga5AEcIDC1Iu+rkRw6a6OLUjcrbLbJ4MlS7MEvix41, facebook-domain-verification=quhlgz38zj3uwd04sjovx5c5y42r5l, globalsign-domain-verification=asnCRhRiOLbEGFRO-Qmn7XtUc1llLZz8p0kCV4s-VR, google-site-verification=3GIgSYdjm-dDX26stJN2t2Rf2CquAaf6sfkd88gKI3s, google-site-verification=FAKoI2LTUW7SBZ50-3gwUDVFZFsRFwfOLz2CB965Nio, google-site-verification=KxD6mljU68DKNgHmLJMbdkDprK7Lzx17Ahhn2PFI30E, google-site-verification=WZDWhpOlgrGXFhbEmScwiVkDRkt1pPaKRIfq1rzw27o, have-i-been-pwned-verification=c65e7a80b3ddb6239e6f09921d735a36, include:_spf-dc10.sapsf.com ~all\"", include:spf.boreal-is.com, twilio-domain-verification=4196326c7ee1dc1481b2ccec060b757f, zapier-domain-verification-challenge=f07fe6e3-1ac6-4752-af23-27581e6b527c",True,cloudfront,originenergy.com.au,,,,"ns-1282.awsdns-32.org, ns-1747.awsdns-26.co.uk, ns-54.awsdns-06.com, ns-998.awsdns-60.net","amazon.com, amazonaws.com, amazontrust.com, digicert.com, globalsign.com, letsencrypt.org, pki.goog, awstrust.com, securetrust.com"
[x],mft.fe-dev.originenergy.com.au,"13.211.112.172, 13.239.124.124, 54.153.225.31","ns-592.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,s-36ba56ad5b804bec9.server.transfer.ap-southeast-2.amazonaws.com,,,,,
[x],mft.fe-stg.originenergy.com.au,"54.79.97.213, 13.55.233.123, 3.105.204.27","ns-592.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,s-621360194abb4ab4a.server.transfer.ap-southeast-2.amazonaws.com,,,,,
[x],mft.fe.originenergy.com.au,"54.66.196.70, 13.211.25.79, 13.239.125.217","ns-592.awsdns-10.net, awsdns-hostmaster.amazon.com",NOERROR,,,,,s-a07cc5aad29d4475b.server.transfer.ap-southeast-2.amazonaws.com,,,,,
[x],orca.upstream.originenergy.com.au,203.34.29.1,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],pages.lpg.originenergy.com.au,13.111.18.25,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,pages.virt.s10.exacttarget.com,,,,,
[x],pages.retail.originenergy.com.au,13.111.18.25,"ns1.exacttarget.com, hostmaster.exacttarget.com",NOERROR,,,,,pages.virt.s10.exacttarget.com,,,,,
[x],pki.originenergy.com.au,203.20.195.68,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],puppetmaster.odcdn.com.au,10.201.243.20,"ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.201.243.20,,,
[x],pxl.originenergy.com.au,"50.17.201.241, 3.208.70.8, 75.101.196.137, 44.193.127.48, 3.214.53.254, 34.199.50.80","ns-1517.awsdns-61.org, awsdns-hostmaster.amazon.com",NOERROR,,v=spf1 -all,,,everestengagement.com,,,,"ns-1517.awsdns-61.org, ns-1909.awsdns-46.co.uk, ns-80.awsdns-10.com, ns-865.awsdns-44.net",
[x],rm.dataportal.originenergy.com.au,"18.244.179.48, 18.244.179.92, 18.244.179.32, 18.244.179.113","ns-261.awsdns-32.com, awsdns-hostmaster.amazon.com",NOERROR,,,True,cloudfront,,,,,"ns-1255.awsdns-28.org, ns-1814.awsdns-34.co.uk, ns-261.awsdns-32.com, ns-883.awsdns-46.net",
[x],salesforce.originenergy.com.au,203.20.192.67,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,"ns-1282.awsdns-32.org, ns-1747.awsdns-26.co.uk, ns-54.awsdns-06.com, ns-998.awsdns-60.net",
[x],staging1.originenergy.com.au,,"ns-10.awsdns-01.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,staging1.rack.origindigital-pac.com.au,,,,,
[x],staging5.originenergy.com.au,119.9.38.129,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],teamcity.odcdn.com.au,10.201.240.10,"ns-484.awsdns-60.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,True,10.201.240.10,,,
[x],web-reports.originenergy.com.au,119.9.38.129,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],webgis.originenergy.com.au,119.9.38.130,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
[x],zabbix.originenergy.com.au,119.9.38.128,"ns-54.awsdns-06.com, awsdns-hostmaster.amazon.com",NOERROR,,,,,,,,,,
