input,title,status_code,content_length,cdn_name,port,url,scheme,webserver,content_type,method,host,path,favicon,a_,tech_,lines,failed,cdn,tls_host,tls_port,tls_probe_status,tls_tls_version,tls_cipher,tls_not_before,tls_not_after,tls_subject_dn,tls_subject_cn,tls_subject_an_,tls_issuer_dn,tls_issuer_cn,tls_issuer_org_,tls_fingerprint_hash_md,tls_fingerprint_hash_sha,tls_wildcard_certificate,tls_tls_connection,tls_sni,tls_mismatched,tls_subject_org_,final_url,csp_domains_
anmet.originenergy.com.au,,200,,,443,https://anmet.originenergy.com.au:443,https,jag,,GET,63.140.62.160,/,1936786007,63.140.62.135,HSTS,1,False,,anmet.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2022-11-20T00:00:00Z,2023-12-21T23:59:59Z,"CN=sanmet.originenergy.com.au, O=Adobe Systems Incorporated, L=San Jose, ST=California, C=US",sanmet.originenergy.com.au,anmet.originenergy.com.au,"CN=DigiCert TLS RSA SHA256 2020 CA1, O=DigiCert Inc, C=US",DigiCert TLS RSA SHA256 2020 CA1,DigiCert Inc,2c275bf9fe64527df14f4a9b0cc6f25d,3d984e8f8615732c057593126571823b1debda03ccd2b0b9892fa080769cb94a,,ctls,anmet.originenergy.com.au,,Adobe Systems Incorporated,,
api-braze-dev.jindabyne.originenergy.com.au,,403,23,,443,https://api-braze-dev.jindabyne.originenergy.com.au:443,https,,application/json,GET,54.253.98.12,/,968070783,54.253.108.206,,1,False,,api-braze-dev.jindabyne.originenergy.com.au,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,2023-05-09T00:00:00Z,2024-06-07T23:59:59Z,CN=api-braze-dev.jindabyne.originenergy.com.au,api-braze-dev.jindabyne.originenergy.com.au,api-braze-dev.jindabyne.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,1b41e728e36be8728407bd82ea5a8bd0,4f73aefed3b274e9b4c406d28d90f288c79b17d4ccb5b7d809def0bc629c6142,,ctls,api-braze-dev.jindabyne.originenergy.com.au,,,,
api-prod.origindigital-pac.com.au,,403,243,cloudfront,443,https://api-prod.origindigital-pac.com.au:443,https,AmazonS3,application/xml,GET,13.32.27.100,/,-1660202857,2600:9000:211e:ba00:13:3bbb:8340:93a1,Amazon Web Services,2,False,True,api-prod.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-04T23:59:59Z,CN=api.originenergy.com.au,api.originenergy.com.au,api-prod.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,79e9a0b851e26709642c373ea5d71597,981981f18797834d8df705f55a5aa935f8806212da30bab0f08b49aba8d8d5c1,,ctls,api-prod.origindigital-pac.com.au,,,,
api.originenergy.com.au,,403,243,cloudfront,443,https://api.originenergy.com.au:443,https,AmazonS3,application/xml,GET,13.32.27.53,/,-405508425,2600:9000:211e:ee00:13:3bbb:8340:93a1,Amazon Web Services,2,False,True,api.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-05-08T00:00:00Z,2024-06-04T23:59:59Z,CN=api.originenergy.com.au,api.originenergy.com.au,api-prod.origindigital-pac.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,79e9a0b851e26709642c373ea5d71597,981981f18797834d8df705f55a5aa935f8806212da30bab0f08b49aba8d8d5c1,,ctls,api.originenergy.com.au,,,,
as.im.originenergy.com.au,ERROR: The request could not be satisfied,403,915,cloudfront,80,http://as.im.originenergy.com.au:80,http,CloudFront,text/html,GET,143.204.215.101,/,-1245081081,2600:9000:214f:7a00:b:ab23:f40:93a1,Amazon Web Services,20,False,True,,,,,,,,,,,,,,,,,,,,,,
assets-digital.origindigital-pac.com.au,,403,243,cloudfront,443,https://assets-digital.origindigital-pac.com.au:443,https,AmazonS3,application/xml,GET,52.222.214.67,/,948914461,52.222.214.115,Amazon Web Services,2,False,True,assets-digital.origindigital-pac.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-27T00:00:00Z,2023-09-03T23:59:59Z,CN=static.originenergy.com.au,static.originenergy.com.au,assets.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,4423e02f200c252c74149a4098598a4b,c5cccc62b49185969433a642005500457da12093be1a5edca100336ad2f8cfdb,,ctls,assets-digital.origindigital-pac.com.au,,,,
auth.dataportal.originenergy.com.au,Error,404,139,cloudfront,80,http://auth.dataportal.originenergy.com.au:80,http,,text/html,GET,13.225.78.36,/,1593207841,13.225.78.50,Amazon Web Services,11,False,True,auth.dataportal.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-23T00:00:00Z,2023-11-15T23:59:59Z,CN=dataportal.originenergy.com.au,dataportal.originenergy.com.au,api.dataportal.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,469b2cf95710a5427bd07c2be82a641c,95c8a280a44550458ca6cad83de9fa25a69f61811ba776e6e4b617f3b8c591dd,True,ctls,auth.dataportal.originenergy.com.au,,,https://auth.dataportal.originenergy.com.au/,
auth.mydata.cdr.originenergy.com.au,403 Forbidden,403,548,cloudflare,443,https://auth.mydata.cdr.originenergy.com.au:443,https,cloudflare,text/html,GET,104.18.40.111,/,586998417,2606:4700:4400::6812:286f,HSTS,14,False,True,auth.mydata.cdr.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-04-25T00:00:00Z,2023-05-25T23:59:59Z,"CN=mydata.cdr.originenergy.com.au, O=Cloudflare\, Inc., L=San Francisco, ST=California, C=US",mydata.cdr.originenergy.com.au,auth.mydata.cdr.originenergy.com.au,"CN=Cloudflare Inc ECC CA-3, O=Cloudflare\, Inc., C=US",Cloudflare Inc ECC CA-3,"Cloudflare, Inc.",be5b66ed3d04d8560441a334a7d968fb,a66bdfa9aaadb3aa755206fe501c71575252857aa923003c9ca965bf66ee12cc,,ctls,auth.mydata.cdr.originenergy.com.au,,"Cloudflare, Inc.",,
autodiscover.originenergy.com.au,Sign in to Outlook,200,198580,,80,http://autodiscover.originenergy.com.au:80,http,,text/html,GET,52.97.189.104,/,-1249852061,2603:1026:c0d:71::8,HSTS,174,False,,login.microsoftonline.com,443,True,tls12,TLS_ECDHE_RSA_WITH_AES_256_GCM_SHA384,2023-03-02T00:00:00Z,2024-03-02T23:59:59Z,"CN=stamp2.login.microsoftonline.com, O=Microsoft Corporation, L=Redmond, ST=Washington, C=US",stamp2.login.microsoftonline.com,stamp2.login.microsoftonline-int.com,"CN=DigiCert SHA2 Secure Server CA, O=DigiCert Inc, C=US",DigiCert SHA2 Secure Server CA,DigiCert Inc,4ceb9ced5b9a448baf4eb595cb5ac3ac,451bd20790847897690ff09ec60812993db03eef241cb1e2b1054c370205650c,,ctls,login.microsoftonline.com,,Microsoft Corporation,https://login.microsoftonline.com/common/oauth2/authorize?client_id=00000002-0000-0ff1-ce00-000000000000&redirect_uri=https%3a%2f%2foutlook.office365.com%2fowa%2f&resource=00000002-0000-0ff1-ce00-000000000000&response_mode=form_post&response_type=code+id_token&scope=openid&msafed=1&msaredir=1&client-request-id=379504e2-1375-9ea6-021b-ef803f19b003&protectedtoken=true&claims=%7b%22id_token%22%3a%7b%22xms_cc%22%3a%7b%22values%22%3a%5b%22CP1%22%5d%7d%7d%7d&domain_hint=originenergy.com.au&nonce=638195075403883084.c4ae45df-239c-4523-b2ef-6e5f4a41d62e&state=DctNDoMgEEBhqHfpjh9hQFyYnmUKgyGpkmC18fZl8b3d44yxoXt0XPewydswzk5PDrQNweoAMgISuJSFsXMU4IwVb0NZeHIZEMbkDfH-KlV_qF6N8LMttZW17LRTW28Z6ybxfF5pwfNbUzlivaj9AQ,
buyinggroup.originenergy.com.au,"Award Winning Electricity, Gas and internet provider in Australia - Origin Energy",200,223156,,443,https://buyinggroup.originenergy.com.au:443,https,nginx,text/html,GET,52.65.190.248,/,136473064,54.66.87.103,WordPress,1537,False,,www.originenergy.com.au,443,True,tls13,TLS_AES_128_GCM_SHA256,2023-02-22T00:00:00Z,2023-09-03T23:59:59Z,CN=originenergy.com.au,originenergy.com.au,*.originenergy.com.au,"CN=Amazon RSA 2048 M02, O=Amazon, C=US",Amazon RSA 2048 M02,Amazon,f9839b6289e3550c383c7ec28aef2660,1a92257df55bb777fe2f3898746ec9f03e7987b5ea90e53c6fe613e6c9708949,True,ctls,www.originenergy.com.au,,,https://www.originenergy.com.au,*.google-analytics.com
